Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.21,23.5,39,28.2,49.6,996.7,1.9,338.4,0.06,-4.7,-10.6,11.208
0.2,23.5,39,28.2,50.0,996.7,1.5,294.0,0.05,-4.7,-11.0,24.482
0.21,23.4,39,28.1,50.1,996.7,2.7,265.1,0.06,-4.7,-11.1,10.914000000000001
0.21,23.4,39,28.1,50.9,996.7,1.8,253.4,0.05,-4.7,-11.9,12.388
0.21,23.4,39,28.2,50.1,996.6,1.0,249.3,0.06,-4.8,-11.1,12.683
0.21,23.5,39,28.2,49.3,996.6,2.3,210.5,0.06,-4.7,-10.3,12.978
0.22,23.5,39,28.3,50.5,996.6,1.5,249.1,0.05,-4.8,-11.5,7.669
0.2,23.5,39,28.3,51.0,996.6,1.8,310.1,0.06,-4.8,-12.0,6.489
0.21,23.6,40,28.4,51.8,996.6,1.7,308.5,0.05,-4.8,-11.8,14.158
0.21,23.5,40,28.4,51.2,996.6,1.9,282.4,0.06,-4.9,-11.2,10.914000000000001
0.2,23.5,40,28.4,51.7,996.6,1.8,283.8,0.05,-4.9,-11.7,7.9639999999999995
0.2,23.5,41,28.5,52.2,996.6,0.6,288.2,0.06,-5.0,-11.2,5.899
0.2,23.5,41,28.5,51.5,996.6,1.7,261.5,0.05,-5.0,-10.5,17.108
0.21,23.5,41,28.5,50.5,996.6,0.8,195.5,0.06,-5.0,-9.5,14.453
0.2,23.5,40,28.5,50.5,996.6,0.6,209.6,0.05,-5.0,-10.5,15.338
0.21,23.5,40,28.6,51.3,996.6,1.1,312.4,0.06,-5.1,-11.3,7.9639999999999995
0.21,23.5,40,28.7,51.8,996.6,1.3,261.5,0.05,-5.2,-11.8,24.482
0.21,23.5,40,28.7,51.2,996.6,0.7,188.5,0.06,-5.2,-11.2,11.798
0.21,23.5,40,28.7,51.1,996.6,1.7,264.5,0.05,-5.2,-11.1,27.136
0.21,23.5,40,28.8,50.8,996.6,3.0,264.1,0.05,-5.3,-10.8,26.546
0.21,23.5,40,28.7,49.9,996.6,2.0,290.8,0.04,-5.2,-9.9,25.956
0.21,23.5,40,28.8,50.8,996.5,2.4,253.8,0.06,-5.3,-10.8,25.662
0.21,23.5,40,28.7,49.4,996.6,3.0,225.2,0.05,-5.2,-9.4,28.316
0.21,23.4,40,28.5,49.2,996.6,2.2,248.9,0.06,-5.1,-9.2,22.712
0.2,23.4,40,28.4,49.3,996.6,2.7,213.1,0.05,-5.0,-9.3,9.734
0.21,23.4,40,28.3,50.2,996.6,2.6,200.0,0.05,-4.9,-10.2,19.172
0.21,23.5,40,28.4,50.4,996.6,2.3,226.9,0.05,-4.9,-10.4,14.748
0.2,23.4,40,28.4,50.1,996.6,1.6,219.2,0.05,-5.0,-10.1,12.978
0.2,23.4,40,28.3,50.2,996.6,1.6,290.6,0.06,-4.9,-10.2,11.503
0.2,23.4,40,28.4,50.5,996.6,2.2,263.6,0.05,-5.0,-10.5,10.324000000000002
0.21,23.6,40,28.4,49.7,996.6,2.1,277.9,0.05,-4.8,-9.7,12.683
0.2,23.5,40,28.4,49.8,996.6,2.2,291.2,0.05,-4.9,-9.8,8.554
0.21,23.5,40,28.5,49.9,996.6,1.6,299.7,0.05,-5.0,-9.9,19.467
0.21,23.5,41,28.5,49.6,996.5,2.1,324.2,0.05,-5.0,-8.6,30.971
0.21,23.5,41,28.4,49.7,996.5,2.1,331.7,0.06,-4.9,-8.7,22.122
0.21,23.5,41,28.3,49.3,996.5,1.3,320.6,0.05,-4.8,-8.3,30.086
0.22,23.5,40,28.3,49.7,996.5,1.1,318.6,0.05,-4.8,-9.7,28.611
0.21,23.5,40,28.4,50.4,996.5,0.8,328.5,0.05,-4.9,-10.4,15.338
0.21,23.5,40,28.3,49.1,996.4,1.8,298.5,0.05,-4.8,-9.1,9.144
0.22,23.5,40,28.3,50.1,996.4,0.9,249.6,0.05,-4.8,-10.1,12.093
0.21,23.5,40,28.3,50.2,996.4,2.1,272.6,0.05,-4.8,-10.2,15.927999999999999
0.2,23.5,40,28.4,50.1,996.4,2.0,271.6,0.06,-4.9,-10.1,23.006999999999998
0.21,23.5,40,28.5,51.2,996.4,2.8,262.3,0.05,-5.0,-11.2,12.683
0.2,23.5,40,28.5,49.5,996.4,3.0,238.4,0.05,-5.0,-9.5,3.8339999999999996
0.2,23.5,40,28.4,48.7,996.4,1.0,347.7,0.05,-4.9,-8.7,6.194
0.21,23.4,40,28.5,50.0,996.4,2.0,325.2,0.05,-5.1,-10.0,12.093
0.2,23.4,40,28.5,50.5,996.4,1.0,328.9,0.05,-5.1,-10.5,12.093
0.2,23.4,40,28.6,51.0,996.4,1.6,278.3,0.04,-5.2,-11.0,19.172
0.21,23.5,40,28.7,50.8,996.4,1.5,279.4,0.05,-5.2,-10.8,15.633
